purpose,total_loans,default_rate,avg_int_rate
car,29803,10.13,12.333819414152938
credit_card,695665,10.63,11.723497272394042
debt_consolidation,1638058,14.09,13.467441580212668
educational,424,20.75,12.142146226415095
home_improvement,193000,11.69,12.62403031088083
house,19596,13.63,14.079675443968156
major_purchase,62685,12.98,12.846087580760948
medical,35295,13.75,13.717540161495963
moving,19184,15.98,14.62145850708924
other,177488,13.58,14.145542008473813
renewable_energy,1767,16.36,14.45324844368987
small_business,29976,20.61,14.98101581265012
vacation,20196,12.42,13.600434244404832
wedding,2355,12.44,14.154513800424628
