issue_year,total_loans,total_defaults,default_rate,avg_int_rate,avg_loan_amnt
2007,603,158,26.2,11.825107794361525,8254.519071310116
2008,2393,496,20.73,12.061964061847053,8825.428332636857
2009,5281,723,13.69,12.437246733573188,9833.033516379473
2010,12537,1757,14.01,11.985267607880672,10528.240408391162
2011,21721,3297,15.18,12.223365406749227,12047.503567975691
2012,53367,8644,16.2,13.637787209324115,13461.709014934322
2013,134814,21027,15.6,14.531892310887594,14707.41373299509
2014,235629,41753,17.72,13.769508973852963,14870.15679309423
2015,421095,80176,19.04,12.599066315202032,15240.28586186015
2016,434407,79798,18.37,13.041132923732812,14734.039046332126
2017,443579,69597,15.69,13.242762687142537,14845.060462736063
2018,495242,53747,10.85,12.727201448988575,16025.02039406997
2019,518107,20808,4.02,12.876357451260068,16470.425751823466
2020,146717,634,0.43,12.925263398242876,16238.165311449935
