issue_year,grade,total_loans,default_rate,avg_int_rate
2007.0,A,78,5.13,7.757564102564103
2007.0,B,98,16.33,9.418163265306122
2007.0,C,141,24.11,10.847588652482269
2007.0,D,99,31.31,12.551616161616161
2007.0,E,100,31.0,14.125
2007.0,F,52,48.08,15.57846153846154
2007.0,G,35,48.57,17.364857142857144
2008.0,A,318,5.97,8.357044025157233
2008.0,B,594,17.34,10.36607744107744
2008.0,C,580,21.03,11.834620689655173
2008.0,D,419,26.49,13.36381861575179
2008.0,E,285,26.32,14.80877192982456
2008.0,F,111,34.23,16.29027027027027
2008.0,G,86,32.56,18.105232558139534
2009.0,A,1203,6.73,8.637664172901081
2009.0,B,1445,12.18,11.791204152249136
2009.0,C,1348,15.28,13.320949554896142
2009.0,D,817,17.99,14.930979192166463
2009.0,E,308,21.75,16.494935064935063
2009.0,F,105,26.67,18.243809523809524
2009.0,G,55,32.73,20.007454545454546
2010.0,A,2830,4.73,7.145756183745583
2010.0,B,3687,11.69,10.7379983726607
2010.0,C,2729,15.35,13.485115426896298
2010.0,D,1885,20.85,15.286355437665781
2010.0,E,962,24.84,16.910873180873182
2010.0,F,311,31.19,18.694855305466238
2010.0,G,133,33.08,20.660075187969923
2011.0,A,5754,6.47,7.107155022592979
2011.0,B,6565,12.06,11.080778370144706
2011.0,C,3942,18.34,13.911192288178588
2011.0,D,2796,23.07,16.400819027181686
2011.0,E,1739,27.08,18.398533640023
2011.0,F,722,31.58,20.382493074792244
2011.0,G,203,32.51,21.960689655172413
2012.0,A,10901,7.24,7.611371433813411
2012.0,B,18507,12.97,12.149682822715729
2012.0,C,11875,18.4,15.265656421052633
2012.0,D,7323,23.47,18.41730165232828
2012.0,E,3185,30.71,21.05914913657771
2012.0,F,1315,35.36,23.091916349809885
2012.0,G,261,41.38,24.495095785440615
2013.0,A,17679,4.7,7.744014932971322
2013.0,B,44116,10.17,11.811537990751654
2013.0,C,38134,17.53,15.540343263229662
2013.0,D,20569,22.36,18.68518304244251
2013.0,E,9059,28.5,21.724041284910033
2013.0,F,4393,34.85,23.976637832916
2013.0,G,864,36.11,25.509074074074075
2014.0,A,36108,5.41,7.471187548465714
2014.0,B,61935,11.1,11.187982723823362
2014.0,C,66565,18.58,14.14989649215053
2014.0,D,42992,25.41,17.116281866393745
2014.0,E,20121,32.86,20.358001590378212
2014.0,F,6223,36.72,24.241438213080507
2014.0,G,1685,43.62,25.857216617210682
2015.0,A,73336,5.51,6.941603305334351
2015.0,B,117606,12.41,10.044214410829378
2015.0,C,120567,20.65,13.297679298647225
2015.0,D,62654,29.22,16.722742362818014
2015.0,E,34948,36.66,19.289315268398763
2015.0,F,9817,45.29,23.61125496587552
2015.0,G,2167,49.84,26.83518689432395
2016.0,A,70847,5.84,6.892833429785312
2016.0,B,134512,12.57,10.24216984358273
2016.0,C,132178,20.29,13.802797818093783
2016.0,D,59178,28.73,18.271831930785087
2016.0,E,25807,36.66,22.427045375285775
2016.0,F,9334,45.11,25.826753803299763
2016.0,G,2551,49.67,28.83957271658173
2017.0,A,78796,5.14,6.964059343113864
2017.0,B,133127,11.19,10.56157218295312
2017.0,C,145144,18.02,14.236459171581325
2017.0,D,56646,25.04,18.755593863644386
2017.0,E,20167,31.74,24.701556503198294
2017.0,F,6242,38.99,29.767558474847807
2017.0,G,3457,42.44,30.867688747468904
2018.0,A,135177,4.02,7.081124303690717
2018.0,B,141365,8.58,10.91724656032257
2018.0,C,126850,13.6,14.707116988569176
2018.0,D,69046,18.99,19.485601193407295
2018.0,E,18958,24.36,25.173329992615255
2018.0,F,3175,30.46,29.482948031496065
2018.0,G,671,34.58,30.816751117734725
2019.0,A,165637,1.6,7.692437619613975
2019.0,B,151436,3.19,11.714484204548457
2019.0,C,122395,5.41,15.764174435230196
2019.0,D,75189,8.14,21.363021186609743
2019.0,E,3397,17.19,25.27599057992346
2019.0,F,36,19.44,29.921111111111113
2019.0,G,17,5.88,30.822352941176472
2020.0,A,57638,0.17,8.481097886810785
2020.0,B,42580,0.43,12.577288398309063
2020.0,C,29832,0.6,16.782899235720034
2020.0,D,16667,1.06,22.27839203215936
